from,to,lineId,lineCode,mode,authority,travelTimeSec
NSR:Quay:7693,NSR:Quay:7791,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:7791,NSR:Quay:7747,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:7747,NSR:Quay:11474,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:11474,NSR:Quay:8226,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:8226,NSR:Quay:111170,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:111170,NSR:Quay:11487,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:11487,NSR:Quay:11513,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11513,NSR:Quay:11528,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:11528,NSR:Quay:11557,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11557,NSR:Quay:11548,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11548,NSR:Quay:11853,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:11853,NSR:Quay:11861,RUT:Line:21,21,bus,Ruter,180
NSR:Quay:11861,NSR:Quay:11049,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:11049,NSR:Quay:11090,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11090,NSR:Quay:102016,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:102016,NSR:Quay:11083,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11083,NSR:Quay:11069,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11069,NSR:Quay:11116,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11116,NSR:Quay:11122,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11122,NSR:Quay:11129,RUT:Line:21,21,bus,Ruter,60
NSR:Quay:11129,NSR:Quay:11140,RUT:Line:21,21,bus,Ruter,120
NSR:Quay:101646,NSR:Quay:104007,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104007,NSR:Quay:104005,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104005,NSR:Quay:104009,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104009,NSR:Quay:104011,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104011,NSR:Quay:104013,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104013,NSR:Quay:104046,RUT:Line:91,91,bus,Ruter,120
NSR:Quay:104046,NSR:Quay:104015,RUT:Line:91,91,bus,Ruter,60
NSR:Quay:104015,NSR:Quay:11757,RUT:Line:91,91,bus,Ruter,0
NSR:Quay:7865,NSR:Quay:7872,RUT:Line:30,30,bus,Ruter,0
NSR:Quay:7872,NSR:Quay:7880,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7880,NSR:Quay:7891,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7891,NSR:Quay:7904,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7904,NSR:Quay:7913,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7913,NSR:Quay:7922,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7922,NSR:Quay:7856,RUT:Line:30,30,bus,Ruter,60
NSR:Quay:7856,NSR:Quay:7842,RUT:Line:30,30,bus,Ruter,180
NSR:Quay:7842,NSR:Quay:7836,RUT:Line:30,30,bus,Ruter,120
NSR:Quay:7836,NSR:Quay:7812,RUT:Line:30,30,bus,Ruter,120
NSR:Quay:7812,NSR:Quay:104031,RUT:Line:30,30,bus,Ruter,180
NSR:Quay:104031,NSR:Quay:7349,RUT:Line:30,30,bus,Ruter,180
