from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:1173,NSR:Quay:1173,AVI:Line:WF_OSL-OSL,Oslo-Oslo,unknown,Avinor,11400,5,2
NSR:Quay:26169,NSR:Quay:26153,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26153,NSR:Quay:26147,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26147,NSR:Quay:26140,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26140,NSR:Quay:26116,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26116,NSR:Quay:26103,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26103,NSR:Quay:26095,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26095,NSR:Quay:26090,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26090,NSR:Quay:26083,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26083,NSR:Quay:29678,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29678,NSR:Quay:29673,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:29673,NSR:Quay:29668,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29668,NSR:Quay:29664,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:29664,NSR:Quay:29661,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29661,NSR:Quay:29657,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29657,NSR:Quay:29651,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29651,NSR:Quay:29648,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:29648,NSR:Quay:100608,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:100608,NSR:Quay:30185,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:30185,NSR:Quay:26949,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26949,NSR:Quay:26954,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26954,NSR:Quay:26960,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26960,NSR:Quay:26966,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,180,6,8
NSR:Quay:26966,NSR:Quay:26968,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26968,NSR:Quay:26976,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26976,NSR:Quay:27006,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27006,NSR:Quay:27020,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:27020,NSR:Quay:27029,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27029,NSR:Quay:27043,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:27043,NSR:Quay:27048,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27048,NSR:Quay:27054,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27054,NSR:Quay:27061,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27061,NSR:Quay:27066,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27066,NSR:Quay:27073,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27073,NSR:Quay:27077,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27077,NSR:Quay:18475,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:18475,NSR:Quay:18490,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:18490,NSR:Quay:18469,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,180,6,8
NSR:Quay:18469,NSR:Quay:18467,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:18467,NSR:Quay:18760,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,900,6,8
NSR:Quay:18760,NSR:Quay:110521,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,2040,6,8
NSR:Quay:110521,NSR:Quay:18760,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,1800,6,8
NSR:Quay:18760,NSR:Quay:18468,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,900,6,8
NSR:Quay:18468,NSR:Quay:18469,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:18469,NSR:Quay:18463,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:18463,NSR:Quay:18489,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:18489,NSR:Quay:110323,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:110323,NSR:Quay:110322,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:110322,NSR:Quay:27076,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27076,NSR:Quay:27072,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27072,NSR:Quay:27067,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27067,NSR:Quay:27060,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27060,NSR:Quay:27049,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27049,NSR:Quay:27041,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27041,NSR:Quay:27036,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27036,NSR:Quay:27030,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27030,NSR:Quay:27021,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27021,NSR:Quay:27007,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:27007,NSR:Quay:26977,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26977,NSR:Quay:26969,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26969,NSR:Quay:26967,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26967,NSR:Quay:26961,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:26961,NSR:Quay:26953,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,180,6,8
NSR:Quay:26953,NSR:Quay:26948,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26948,NSR:Quay:30182,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:30182,NSR:Quay:29622,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:29622,NSR:Quay:27306,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:27306,NSR:Quay:29647,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:29647,NSR:Quay:29652,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29652,NSR:Quay:29656,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,120,6,8
NSR:Quay:29656,NSR:Quay:29660,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:29660,NSR:Quay:29667,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29667,NSR:Quay:29672,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:29672,NSR:Quay:29677,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:29677,NSR:Quay:26082,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26082,NSR:Quay:26089,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,60,6,8
NSR:Quay:26089,NSR:Quay:26096,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,,6,8
NSR:Quay:26096,NSR:Quay:26166,BRA:Line:26_4260,Flybuss Ringerike - Gardermoen,bus,Askeladden Reiser,360,6,8
NSR:Quay:110561,NSR:Quay:110752,BRA:Line:4_6001,1,bus,Brakar,180,206,243
NSR:Quay:110752,NSR:Quay:105498,BRA:Line:4_6001,1,bus,Brakar,420,206,243
NSR:Quay:105498,NSR:Quay:30177,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30177,NSR:Quay:30180,BRA:Line:4_6001,1,bus,Brakar,,206,243
NSR:Quay:30180,NSR:Quay:30183,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30183,NSR:Quay:30192,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30192,NSR:Quay:30199,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30199,NSR:Quay:30208,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30208,NSR:Quay:30213,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30213,NSR:Quay:30059,BRA:Line:4_6001,1,bus,Brakar,60,206,243
NSR:Quay:30059,NSR:Quay:30063,BRA:Line:4_6001,1,bus,Brakar,120,127,243
NSR:Quay:30063,NSR:Quay:30068,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:30068,NSR:Quay:28651,BRA:Line:4_6001,1,bus,Brakar,120,127,243
NSR:Quay:28651,NSR:Quay:28659,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28659,NSR:Quay:28665,BRA:Line:4_6001,1,bus,Brakar,,127,243
NSR:Quay:28665,NSR:Quay:28670,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28670,NSR:Quay:28675,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28675,NSR:Quay:28682,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28682,NSR:Quay:28684,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28684,NSR:Quay:28691,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28691,NSR:Quay:28697,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28697,NSR:Quay:28703,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28703,NSR:Quay:28710,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28710,NSR:Quay:28729,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28729,NSR:Quay:28585,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28585,NSR:Quay:110928,BRA:Line:4_6001,1,bus,Brakar,120,127,243
NSR:Quay:110928,NSR:Quay:28595,BRA:Line:4_6001,1,bus,Brakar,,127,243
NSR:Quay:28595,NSR:Quay:28599,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28599,NSR:Quay:28722,BRA:Line:4_6001,1,bus,Brakar,,127,243
NSR:Quay:28722,NSR:Quay:28723,BRA:Line:4_6001,1,bus,Brakar,60,127,243
NSR:Quay:28723,NSR:Quay:101560,BRA:Line:4_6001,1,bus,Brakar,480,127,243
