from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:99688,NSR:Quay:11880,BRA:Line:4_6169,169,bus,Brakar,60,7,14
NSR:Quay:11880,NSR:Quay:11829,BRA:Line:4_6169,169,bus,Brakar,60,7,14
NSR:Quay:11829,NSR:Quay:7700,BRA:Line:4_6169,169,bus,Brakar,120,7,14
NSR:Quay:7700,NSR:Quay:11969,BRA:Line:4_6169,169,bus,Brakar,660,7,14
NSR:Quay:12002,NSR:Quay:7699,BRA:Line:4_6169,169,bus,Brakar,660,7,14
NSR:Quay:7699,NSR:Quay:11827,BRA:Line:4_6169,169,bus,Brakar,240,7,14
NSR:Quay:11827,NSR:Quay:11881,BRA:Line:4_6169,169,bus,Brakar,60,7,14
NSR:Quay:11881,NSR:Quay:11888,BRA:Line:4_6169,169,bus,Brakar,60,7,14
NSR:Quay:99688,NSR:Quay:11829,BRA:Line:4_6200,200,bus,Brakar,120,53,57
NSR:Quay:11829,NSR:Quay:7700,BRA:Line:4_6200,200,bus,Brakar,180,56,57
NSR:Quay:7700,NSR:Quay:11969,BRA:Line:4_6200,200,bus,Brakar,780,58,57
NSR:Quay:11829,NSR:Quay:7716,BRA:Line:4_6200,200,bus,Brakar,240,2,57
NSR:Quay:7716,NSR:Quay:7700,BRA:Line:4_6200,200,bus,Brakar,180,2,57
NSR:Quay:11973,NSR:Quay:7699,BRA:Line:4_6200,200,bus,Brakar,480,60,57
NSR:Quay:7699,NSR:Quay:11827,BRA:Line:4_6200,200,bus,Brakar,360,58,57
NSR:Quay:11827,NSR:Quay:11888,BRA:Line:4_6200,200,bus,Brakar,60,56,57
NSR:Quay:7699,NSR:Quay:7716,BRA:Line:4_6200,200,bus,Brakar,120,2,57
NSR:Quay:7716,NSR:Quay:11827,BRA:Line:4_6200,200,bus,Brakar,420,2,57
NSR:Quay:236,NSR:Quay:476,FLT:Line:FLY2,FLY2,rail,Flytoget,240,2940,100
NSR:Quay:476,NSR:Quay:557,FLT:Line:FLY2,FLY2,rail,Flytoget,360,2940,100
NSR:Quay:570,NSR:Quay:475,FLT:Line:FLY2,FLY2,rail,Flytoget,180,2916,100
NSR:Quay:475,NSR:Quay:239,FLT:Line:FLY2,FLY2,rail,Flytoget,240,2916,100
NSR:Quay:570,NSR:Quay:239,FLT:Line:FLY2,FLY2,rail,Flytoget,420,24,100
NSR:Quay:236,NSR:Quay:476,FLT:Line:FLY1,FLY1,rail,Flytoget,240,9205,118
NSR:Quay:476,NSR:Quay:557,FLT:Line:FLY1,FLY1,rail,Flytoget,420,9205,118
NSR:Quay:570,NSR:Quay:475,FLT:Line:FLY1,FLY1,rail,Flytoget,240,9138,118
NSR:Quay:475,NSR:Quay:239,FLT:Line:FLY1,FLY1,rail,Flytoget,240,9138,118
NSR:Quay:236,NSR:Quay:557,FLT:Line:FLY1,FLY1,rail,Flytoget,660,84,118
NSR:Quay:570,NSR:Quay:239,FLT:Line:FLY1,FLY1,rail,Flytoget,480,149,118
NSR:Quay:554,NSR:Quay:478,GOA:Line:50,F5,rail,Go-Ahead Norge AS,121,2,31
NSR:Quay:478,NSR:Quay:239,GOA:Line:50,F5,rail,Go-Ahead Norge AS,150,2,31
NSR:Quay:554,NSR:Quay:475,GOA:Line:50,F5,rail,Go-Ahead Norge AS,121,2,31
NSR:Quay:475,NSR:Quay:239,GOA:Line:50,F5,rail,Go-Ahead Norge AS,150,2,31
NSR:Quay:10538,NSR:Quay:10535,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10535,NSR:Quay:10525,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10525,NSR:Quay:10477,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10477,NSR:Quay:10484,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10484,NSR:Quay:10736,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10736,NSR:Quay:10697,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10697,NSR:Quay:10656,INN:Line:126,126,bus,Innlandstrafikk,60,22,14
NSR:Quay:10656,NSR:Quay:10648,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:10648,NSR:Quay:10942,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:10942,NSR:Quay:10955,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:10955,NSR:Quay:10965,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:10965,NSR:Quay:11002,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:11002,NSR:Quay:11059,INN:Line:126,126,bus,Innlandstrafikk,120,16,14
NSR:Quay:11059,NSR:Quay:104044,INN:Line:126,126,bus,Innlandstrafikk,120,16,14
NSR:Quay:104044,NSR:Quay:11036,INN:Line:126,126,bus,Innlandstrafikk,60,16,14
NSR:Quay:11036,NSR:Quay:11969,INN:Line:126,126,bus,Innlandstrafikk,660,16,14
NSR:Quay:10656,NSR:Quay:10668,INN:Line:126,126,bus,Innlandstrafikk,,6,14
NSR:Quay:10668,NSR:Quay:10756,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:10756,NSR:Quay:10770,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:10770,NSR:Quay:10394,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:10394,NSR:Quay:10389,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:10389,NSR:Quay:11445,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:11445,NSR:Quay:11448,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:11448,NSR:Quay:11456,INN:Line:126,126,bus,Innlandstrafikk,,6,14
NSR:Quay:11456,NSR:Quay:11454,INN:Line:126,126,bus,Innlandstrafikk,120,6,14
NSR:Quay:11454,NSR:Quay:98653,INN:Line:126,126,bus,Innlandstrafikk,180,6,14
NSR:Quay:98653,NSR:Quay:10866,INN:Line:126,126,bus,Innlandstrafikk,120,6,14
NSR:Quay:10866,NSR:Quay:10832,INN:Line:126,126,bus,Innlandstrafikk,300,6,14
NSR:Quay:10832,NSR:Quay:11079,INN:Line:126,126,bus,Innlandstrafikk,120,6,14
NSR:Quay:11079,NSR:Quay:11069,INN:Line:126,126,bus,Innlandstrafikk,,6,14
NSR:Quay:11069,NSR:Quay:11116,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:11116,NSR:Quay:11122,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:11122,NSR:Quay:114003,INN:Line:126,126,bus,Innlandstrafikk,60,6,14
NSR:Quay:114003,NSR:Quay:11969,INN:Line:126,126,bus,Innlandstrafikk,600,6,14
NSR:Quay:11992,NSR:Quay:11037,INN:Line:126,126,bus,Innlandstrafikk,360,15,14
NSR:Quay:11037,NSR:Quay:104045,INN:Line:126,126,bus,Innlandstrafikk,,15,14
NSR:Quay:104045,NSR:Quay:11064,INN:Line:126,126,bus,Innlandstrafikk,240,15,14
NSR:Quay:11064,NSR:Quay:11001,INN:Line:126,126,bus,Innlandstrafikk,60,15,14
NSR:Quay:11001,NSR:Quay:10964,INN:Line:126,126,bus,Innlandstrafikk,60,15,14
NSR:Quay:10964,NSR:Quay:10950,INN:Line:126,126,bus,Innlandstrafikk,60,15,14
NSR:Quay:10950,NSR:Quay:10943,INN:Line:126,126,bus,Innlandstrafikk,60,15,14
NSR:Quay:10943,NSR:Quay:10643,INN:Line:126,126,bus,Innlandstrafikk,120,15,14
NSR:Quay:10643,NSR:Quay:10655,INN:Line:126,126,bus,Innlandstrafikk,60,15,14
NSR:Quay:10655,NSR:Quay:10698,INN:Line:126,126,bus,Innlandstrafikk,60,19,14
NSR:Quay:10698,NSR:Quay:10739,INN:Line:126,126,bus,Innlandstrafikk,60,19,14
NSR:Quay:10739,NSR:Quay:10485,INN:Line:126,126,bus,Innlandstrafikk,,19,14
NSR:Quay:10485,NSR:Quay:10478,INN:Line:126,126,bus,Innlandstrafikk,60,19,14
