id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:7693,NSR:Quay:7693,Tjuvholmen,59.909941,10.7221,bus,bus
NSR:Quay:7791,NSR:Quay:7791,Observatoriegata,59.912938,10.719789,bus,bus
NSR:Quay:7747,NSR:Quay:7747,Solli,59.915259,10.717343,bus,bus
NSR:Quay:11474,NSR:Quay:11474,Riddervolds plass,59.918324,10.718966,bus,bus
NSR:Quay:8226,NSR:Quay:8226,Uranienborgveien,59.9211,10.722552,bus,bus
NSR:Quay:111170,NSR:Quay:111170,Homansbyen,59.922892,10.725947,bus,bus
NSR:Quay:11487,NSR:Quay:11487,Bislett,59.925739,10.732052,bus,bus
NSR:Quay:11513,NSR:Quay:11513,Sofies plass,59.924197,10.734892,bus,bus
NSR:Quay:11528,NSR:Quay:11528,St. Hanshaugen,59.924365,10.741904,bus,bus
NSR:Quay:11557,NSR:Quay:11557,Falck Ytters plass,59.925762,10.744833,bus,bus
NSR:Quay:11548,NSR:Quay:11548,Alexander Kiellands plass,59.927869,10.749253,bus,bus
NSR:Quay:11853,NSR:Quay:11853,Sannergata,59.92829,10.758963,bus,bus
NSR:Quay:11861,NSR:Quay:11861,Københavngata,59.929034,10.769456,bus,bus
NSR:Quay:11049,NSR:Quay:11049,Carl Berners plass,59.92639,10.77525,bus,bus
NSR:Quay:11090,NSR:Quay:11090,Carl Berners plass T,59.925922,10.777609,bus,bus
NSR:Quay:102016,NSR:Quay:102016,Fougners vei,59.924752,10.781659,bus,bus
NSR:Quay:11083,NSR:Quay:11083,Einars vei,59.924521,10.788695,bus,bus
NSR:Quay:11069,NSR:Quay:11069,Hasle,59.923154,10.792469,bus,bus
NSR:Quay:11116,NSR:Quay:11116,Gladengveien,59.919768,10.793866,bus,bus
NSR:Quay:11122,NSR:Quay:11122,Valle,59.917122,10.800228,bus,bus
NSR:Quay:11129,NSR:Quay:11129,Fyrstikktorget,59.913699,10.800537,bus,bus
NSR:Quay:11140,NSR:Quay:11140,Helsfyr T,59.912481,10.801328,bus,bus
NSR:Quay:101646,NSR:Quay:101646,Kjelsåsalléen,59.963009,10.783969,bus,bus
NSR:Quay:104007,NSR:Quay:104007,Grefsen stadion,59.960314,10.784511,bus,bus
NSR:Quay:104005,NSR:Quay:104005,Grefsenplatået,59.955907,10.785669,bus,bus
