id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:99688,NSR:Quay:99688,Vækerø,59.91565,10.651833,"bus,coach service",multimodal
NSR:Quay:11880,NSR:Quay:11880,Maritim,59.918496,10.667065,"bus,coach service",multimodal
NSR:Quay:11829,NSR:Quay:11829,Sjølyst,59.920456,10.676683,"bus,coach service",multimodal
NSR:Quay:7700,NSR:Quay:7700,Vika atrium,59.910762,10.722139,"bus,coach service",multimodal
NSR:Quay:11969,NSR:Quay:11969,Oslo bussterminal,59.91194,10.75671,bus,bus
NSR:Quay:12002,NSR:Quay:12002,Oslo bussterminal,59.911593,10.759892,bus,bus
NSR:Quay:7699,NSR:Quay:7699,Vika atrium,59.910836,10.723177,"bus,coach service",multimodal
NSR:Quay:11827,NSR:Quay:11827,Sjølyst,59.921284,10.675004,"bus,coach service",multimodal
NSR:Quay:11881,NSR:Quay:11881,Maritim,59.917987,10.661813,"bus,coach service",multimodal
NSR:Quay:11888,NSR:Quay:11888,Vækerø,59.915522,10.649233,"bus,coach service",multimodal
NSR:Quay:7716,NSR:Quay:7716,Filipstadveien,59.908621,10.713561,"bus,coach service",multimodal
NSR:Quay:11973,NSR:Quay:11973,Oslo bussterminal,59.911573,10.760016,bus,bus
NSR:Quay:236,NSR:Quay:236,Skøyen stasjon,59.922268,10.67863,rail,rail
NSR:Quay:476,NSR:Quay:476,Nationaltheatret stasjon,59.91526,10.727513,rail,rail
NSR:Quay:557,NSR:Quay:557,Oslo S,59.910261,10.754866,rail,rail
NSR:Quay:570,NSR:Quay:570,Oslo S,59.911022,10.755594,rail,rail
NSR:Quay:475,NSR:Quay:475,Nationaltheatret stasjon,59.915537,10.728612,rail,rail
NSR:Quay:239,NSR:Quay:239,Skøyen stasjon,59.922484,10.67888,rail,rail
NSR:Quay:554,NSR:Quay:554,Oslo S,59.910956,10.755531,rail,rail
NSR:Quay:478,NSR:Quay:478,Nationaltheatret stasjon,59.915447,10.72858,rail,rail
NSR:Quay:10538,NSR:Quay:10538,Tokerudbekken,59.975614,10.925713,bus,bus
NSR:Quay:10535,NSR:Quay:10535,Bånkallstubben,59.973823,10.919533,bus,bus
NSR:Quay:10525,NSR:Quay:10525,Rommi,59.966504,10.907471,bus,bus
NSR:Quay:10477,NSR:Quay:10477,Sveiva,59.963197,10.900294,bus,bus
NSR:Quay:10484,NSR:Quay:10484,Romsåsfoten,59.960329,10.89509,bus,bus
NSR:Quay:10736,NSR:Quay:10736,Grorudkrysset,59.959895,10.885214,bus,bus
NSR:Quay:10697,NSR:Quay:10697,Ammerud,59.95757,10.872195,bus,bus
NSR:Quay:10656,NSR:Quay:10656,Flaen,59.95456,10.867887,bus,bus
NSR:Quay:10648,NSR:Quay:10648,Rødtvet T,59.949219,10.854677,bus,bus
NSR:Quay:10942,NSR:Quay:10942,Veitvet,59.945286,10.843337,bus,bus
NSR:Quay:10955,NSR:Quay:10955,Linderudsletta,59.944213,10.835054,bus,bus
NSR:Quay:10965,NSR:Quay:10965,Øvre Lunden,59.943297,10.829223,bus,bus
NSR:Quay:11002,NSR:Quay:11002,Brobekk,59.944229,10.817298,bus,bus
NSR:Quay:11059,NSR:Quay:11059,Aker sykehus,59.940943,10.797761,bus,bus
NSR:Quay:104044,NSR:Quay:104044,Rosenhoff,59.930229,10.778122,bus,bus
NSR:Quay:11036,NSR:Quay:11036,Carl Berners plass,59.926789,10.77659,bus,bus
NSR:Quay:10668,NSR:Quay:10668,Kalbakkstubben,59.950835,10.866353,bus,bus
NSR:Quay:10756,NSR:Quay:10756,Bredtvet,59.946038,10.862968,bus,bus
NSR:Quay:10770,NSR:Quay:10770,Nedre Kalbakkvei,59.942634,10.858752,bus,bus
NSR:Quay:10394,NSR:Quay:10394,Alfasetveien,59.936854,10.858443,bus,bus
NSR:Quay:10389,NSR:Quay:10389,Kjelsrud,59.932836,10.859765,bus,bus
NSR:Quay:11445,NSR:Quay:11445,Alfaset,59.931259,10.856659,bus,bus
NSR:Quay:11448,NSR:Quay:11448,Alna senter,59.927892,10.846872,bus,bus
NSR:Quay:11456,NSR:Quay:11456,Tittutveien,59.925611,10.843635,bus,bus
NSR:Quay:11454,NSR:Quay:11454,Alnabruveien,59.924064,10.834655,bus,bus
NSR:Quay:98653,NSR:Quay:98653,Brobekkveien,59.93141,10.830102,bus,bus
NSR:Quay:10866,NSR:Quay:10866,Risløkkalléen,59.931377,10.824111,bus,bus
NSR:Quay:10832,NSR:Quay:10832,Økern T,59.928403,10.807017,bus,bus
NSR:Quay:11079,NSR:Quay:11079,Haslevangen,59.925157,10.79411,bus,bus
NSR:Quay:11069,NSR:Quay:11069,Hasle,59.923154,10.792469,bus,bus
NSR:Quay:11116,NSR:Quay:11116,Gladengveien,59.919768,10.793866,bus,bus
NSR:Quay:11122,NSR:Quay:11122,Valle,59.917122,10.800228,bus,bus
NSR:Quay:114003,NSR:Quay:114003,Fyrstikktorget,59.913954,10.799963,bus,bus
NSR:Quay:11992,NSR:Quay:11992,Oslo bussterminal,59.911632,10.759662,"bus,coach service",multimodal
NSR:Quay:11037,NSR:Quay:11037,Carl Berners plass,59.926775,10.77674,bus,bus
NSR:Quay:104045,NSR:Quay:104045,Rosenhoff,59.930442,10.778288,bus,bus
NSR:Quay:11064,NSR:Quay:11064,Aker sykehus,59.940518,10.797257,bus,bus
NSR:Quay:11001,NSR:Quay:11001,Brobekk,59.944092,10.81788,bus,bus
NSR:Quay:10964,NSR:Quay:10964,Øvre Lunden,59.943009,10.828722,bus,bus
NSR:Quay:10950,NSR:Quay:10950,Linderudsletta,59.943794,10.83591,bus,bus
NSR:Quay:10943,NSR:Quay:10943,Veitvet,59.945662,10.846349,bus,bus
NSR:Quay:10643,NSR:Quay:10643,Rødtvet T,59.950901,10.860954,bus,bus
