id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:1173,NSR:Quay:1173,Oslo lufthavn,60.19422,11.099609,unknown,unknown
NSR:Quay:26169,NSR:Quay:26169,Sundvollen sentrum,60.062,10.309736,bus,bus
NSR:Quay:26153,NSR:Quay:26153,Kroksund,60.066087,10.297885,bus,bus
NSR:Quay:26147,NSR:Quay:26147,Paddevika,60.0745,10.3005,bus,bus
NSR:Quay:26140,NSR:Quay:26140,Vik E16,60.07788,10.287076,"bus,coach service",multimodal
NSR:Quay:26116,NSR:Quay:26116,Steinsåsen E16,60.089615,10.2892,"bus,coach service",multimodal
NSR:Quay:26103,NSR:Quay:26103,Høyenhall E16,60.095303,10.292684,bus,bus
NSR:Quay:26095,NSR:Quay:26095,Steinsalléen,60.1002,10.2902,bus,bus
NSR:Quay:26090,NSR:Quay:26090,Vollgata,60.110348,10.285452,bus,bus
NSR:Quay:26083,NSR:Quay:26083,Sonerud,60.11565,10.282925,bus,bus
NSR:Quay:29678,NSR:Quay:29678,Gihle,60.1242,10.2802,bus,bus
NSR:Quay:29673,NSR:Quay:29673,Botilrud,60.130007,10.275191,bus,bus
NSR:Quay:29668,NSR:Quay:29668,Hønensvingen E16,60.1353,10.273,bus,bus
NSR:Quay:29664,NSR:Quay:29664,Tanberg,60.1374,10.2683,bus,bus
NSR:Quay:29661,NSR:Quay:29661,Trøgstad,60.1423,10.2619,bus,bus
NSR:Quay:29657,NSR:Quay:29657,Ringerike sykehus E16,60.148417,10.252036,"bus,coach service",multimodal
NSR:Quay:29651,NSR:Quay:29651,Dalsbråten,60.153,10.2577,bus,bus
NSR:Quay:29648,NSR:Quay:29648,Eikli,60.15957,10.25696,bus,bus
NSR:Quay:100608,NSR:Quay:100608,Hønefoss sentrum,60.165976,10.257103,bus,bus
NSR:Quay:30185,NSR:Quay:30185,Riddergården,60.17037,10.26014,bus,bus
NSR:Quay:26949,NSR:Quay:26949,Hvitbrua,60.17139,10.26258,bus,bus
NSR:Quay:26954,NSR:Quay:26954,Vesterntangen,60.1685,10.2687,bus,bus
NSR:Quay:26960,NSR:Quay:26960,Vestern,60.1681,10.28392,bus,bus
NSR:Quay:26966,NSR:Quay:26966,Sætranggata,60.16564,10.30432,bus,bus
NSR:Quay:26968,NSR:Quay:26968,Freitag,60.16577,10.31288,bus,bus
NSR:Quay:26976,NSR:Quay:26976,Nedre Klekken,60.16656,10.32013,bus,bus
NSR:Quay:27006,NSR:Quay:27006,Klækken Hotell,60.16798,10.3267,bus,bus
NSR:Quay:27020,NSR:Quay:27020,Smeden,60.1768,10.3451,bus,bus
NSR:Quay:27029,NSR:Quay:27029,Bølgen,60.1806,10.35302,bus,bus
NSR:Quay:27043,NSR:Quay:27043,Salem,60.1909,10.364,bus,bus
NSR:Quay:27048,NSR:Quay:27048,Vesetrud Åsbygda,60.1932,10.3644,bus,bus
NSR:Quay:27054,NSR:Quay:27054,Åstrud,60.1983,10.3655,bus,bus
NSR:Quay:27061,NSR:Quay:27061,Åsbygda skole,60.20545,10.36883,bus,bus
NSR:Quay:27066,NSR:Quay:27066,Åsbygda stadion,60.20961,10.36913,bus,bus
NSR:Quay:27073,NSR:Quay:27073,Håkenstugata,60.21425,10.37033,bus,bus
NSR:Quay:27077,NSR:Quay:27077,Kistefossveien,60.21716,10.37437,bus,bus
NSR:Quay:18475,NSR:Quay:18475,Kleggerud,60.226204,10.388852,bus,bus
NSR:Quay:18490,NSR:Quay:18490,Mo,60.234211,10.404168,bus,bus
