mode,experiment,graph,attack_type,run_id,removal_type,step,removed_nodes,node_removed,flow,flow_ratio
all,exp1,oslo_only,targeted,0,single,1,NSR:Quay:550,NSR:Quay:550,3715470.0,0.9770379116385601
all,exp1,oslo_only,targeted,0,single,2,NSR:Quay:11991,NSR:Quay:11991,3797550.0,0.9986220643264551
all,exp1,oslo_only,targeted,0,single,3,NSR:Quay:11962,NSR:Quay:11962,3798350.0,0.9988324361850115
all,exp1,oslo_only,targeted,0,single,4,NSR:Quay:561,NSR:Quay:561,3626990.0,0.9537707840822133
all,exp1,oslo_only,targeted,0,single,5,NSR:Quay:555,NSR:Quay:555,3214830.0,0.8453872025539143
all,exp1,oslo_only,targeted,0,single,6,NSR:Quay:553,NSR:Quay:553,3626990.0,0.9537707840822133
all,exp1,oslo_only,targeted,0,single,7,NSR:Quay:551,NSR:Quay:551,3214830.0,0.8453872025539143
all,exp1,oslo_only,targeted,0,single,8,NSR:Quay:11971,NSR:Quay:11971,3793850.0,0.9976490944806313
all,exp1,oslo_only,targeted,0,single,9,NSR:Quay:11970,NSR:Quay:11970,3791500.0,0.9970311271461216
all,exp1,oslo_only,targeted,0,single,10,NSR:Quay:11963,NSR:Quay:11963,3798350.0,0.9988324361850115
all,exp1,oslo_only,targeted,0,cumulative,1,['NSR:Quay:550'],,3715470.0,0.9770379116385601
all,exp1,oslo_only,targeted,0,cumulative,2,"['NSR:Quay:11991', 'NSR:Quay:550']",,3714670.0,0.9768275397800036
all,exp1,oslo_only,targeted,0,cumulative,3,"['NSR:Quay:11991', 'NSR:Quay:11962', 'NSR:Quay:550']",,3714670.0,0.9768275397800036
all,exp1,oslo_only,targeted,0,cumulative,4,"['NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:11962', 'NSR:Quay:550']",,3543310.0,0.9317658876772055
all,exp1,oslo_only,targeted,0,cumulative,5,"['NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:555', 'NSR:Quay:550', 'NSR:Quay:11962']",,2959790.0,0.7783206540461083
all,exp1,oslo_only,targeted,0,cumulative,6,"['NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:555', 'NSR:Quay:553', 'NSR:Quay:550', 'NSR:Quay:11962']",,2788430.0,0.7332590019433101
all,exp1,oslo_only,targeted,0,cumulative,7,"['NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:555', 'NSR:Quay:551', 'NSR:Quay:553', 'NSR:Quay:550', 'NSR:Quay:11962']",,2204910.0,0.5798137683122129
all,exp1,oslo_only,targeted,0,cumulative,8,"['NSR:Quay:555', 'NSR:Quay:11971', 'NSR:Quay:553', 'NSR:Quay:11962', 'NSR:Quay:550', 'NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:551']",,2200410.0,0.5786304266078327
all,exp1,oslo_only,targeted,0,cumulative,9,"['NSR:Quay:555', 'NSR:Quay:11971', 'NSR:Quay:553', 'NSR:Quay:11962', 'NSR:Quay:550', 'NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:551', 'NSR:Quay:11970']",,2193560.0,0.5768291175689428
all,exp1,oslo_only,targeted,0,cumulative,10,"['NSR:Quay:555', 'NSR:Quay:11971', 'NSR:Quay:553', 'NSR:Quay:11963', 'NSR:Quay:11962', 'NSR:Quay:550', 'NSR:Quay:561', 'NSR:Quay:11991', 'NSR:Quay:551', 'NSR:Quay:11970']",,2193560.0,0.5768291175689428
all,exp1,oslo_only,random,0,single,1,NSR:Quay:12036,NSR:Quay:12036,3787600.0,0.9960055643356588
all,exp1,oslo_only,random,0,single,2,NSR:Quay:101886,NSR:Quay:101886,3797500.0,0.9986089160852952
all,exp1,oslo_only,random,0,single,3,NSR:Quay:103440,NSR:Quay:103440,3363790.0,0.8845584426171311
all,exp1,oslo_only,random,0,single,4,NSR:Quay:11975,NSR:Quay:11975,3790150.0,0.9966761246348076
all,exp1,oslo_only,random,0,single,5,NSR:Quay:102673,NSR:Quay:102673,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,0,single,6,NSR:Quay:12053,NSR:Quay:12053,3793950.0,0.9976753909629509
all,exp1,oslo_only,random,0,single,7,NSR:Quay:562,NSR:Quay:562,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,0,single,8,NSR:Quay:11963,NSR:Quay:11963,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,0,single,9,NSR:Quay:11973,NSR:Quay:11973,3795500.0,0.998082986438904
all,exp1,oslo_only,random,0,single,10,NSR:Quay:11928,NSR:Quay:11928,3670350.0,0.9651729388159745
all,exp1,oslo_only,random,0,cumulative,1,['NSR:Quay:12036'],,3787600.0,0.9960055643356588
all,exp1,oslo_only,random,0,cumulative,2,"['NSR:Quay:101886', 'NSR:Quay:12036']",,3786750.0,0.9957820442359425
all,exp1,oslo_only,random,0,cumulative,3,"['NSR:Quay:101886', 'NSR:Quay:12036', 'NSR:Quay:103440']",,3352190.0,0.8815080506680621
all,exp1,oslo_only,random,0,cumulative,4,"['NSR:Quay:101886', 'NSR:Quay:12036', 'NSR:Quay:103440', 'NSR:Quay:11975']",,3343990.0,0.8793517391178582
all,exp1,oslo_only,random,0,cumulative,5,"['NSR:Quay:12036', 'NSR:Quay:101886', 'NSR:Quay:103440', 'NSR:Quay:102673', 'NSR:Quay:11975']",,3343990.0,0.8793517391178582
all,exp1,oslo_only,random,0,cumulative,6,"['NSR:Quay:12053', 'NSR:Quay:12036', 'NSR:Quay:101886', 'NSR:Quay:103440', 'NSR:Quay:102673', 'NSR:Quay:11975']",,3339590.0,0.8781946938957975
all,exp1,oslo_only,random,0,cumulative,7,"['NSR:Quay:12053', 'NSR:Quay:12036', 'NSR:Quay:101886', 'NSR:Quay:562', 'NSR:Quay:103440', 'NSR:Quay:102673', 'NSR:Quay:11975']",,3339590.0,0.8781946938957975
all,exp1,oslo_only,random,0,cumulative,8,"['NSR:Quay:101886', 'NSR:Quay:102673', 'NSR:Quay:562', 'NSR:Quay:11963', 'NSR:Quay:12053', 'NSR:Quay:12036', 'NSR:Quay:103440', 'NSR:Quay:11975']",,3339590.0,0.8781946938957975
all,exp1,oslo_only,random,0,cumulative,9,"['NSR:Quay:101886', 'NSR:Quay:102673', 'NSR:Quay:562', 'NSR:Quay:11963', 'NSR:Quay:11973', 'NSR:Quay:12053', 'NSR:Quay:12036', 'NSR:Quay:103440', 'NSR:Quay:11975']",,3336740.0,0.87744524414969
all,exp1,oslo_only,random,0,cumulative,10,"['NSR:Quay:11928', 'NSR:Quay:101886', 'NSR:Quay:102673', 'NSR:Quay:562', 'NSR:Quay:11963', 'NSR:Quay:11973', 'NSR:Quay:12053', 'NSR:Quay:12036', 'NSR:Quay:103440', 'NSR:Quay:11975']",,3208740.0,0.8437857467806531
all,exp1,oslo_only,random,1,single,1,NSR:Quay:7210,NSR:Quay:7210,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,1,single,2,NSR:Quay:11897,NSR:Quay:11897,3670350.0,0.9651729388159745
all,exp1,oslo_only,random,1,single,3,NSR:Quay:7699,NSR:Quay:7699,3794800.0,0.9978989110626671
all,exp1,oslo_only,random,1,single,4,NSR:Quay:100634,NSR:Quay:100634,3725630.0,0.9797096342422275
all,exp1,oslo_only,random,1,single,5,NSR:Quay:562,NSR:Quay:562,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,1,single,6,NSR:Quay:566,NSR:Quay:566,3792750.0,0.9973598331751161
all,exp1,oslo_only,random,1,single,7,NSR:Quay:104410,NSR:Quay:104410,3798300.0,0.9988192879438518
all,exp1,oslo_only,random,1,single,8,NSR:Quay:122003,NSR:Quay:122003,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,1,single,9,NSR:Quay:11991,NSR:Quay:11991,3797550.0,0.9986220643264551
all,exp1,oslo_only,random,1,single,10,NSR:Quay:104022,NSR:Quay:104022,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,1,cumulative,1,['NSR:Quay:7210'],,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,1,cumulative,2,"['NSR:Quay:11897', 'NSR:Quay:7210']",,3670350.0,0.9651729388159745
all,exp1,oslo_only,random,1,cumulative,3,"['NSR:Quay:11897', 'NSR:Quay:7210', 'NSR:Quay:7699']",,3666800.0,0.9642394136936302
all,exp1,oslo_only,random,1,cumulative,4,"['NSR:Quay:100634', 'NSR:Quay:11897', 'NSR:Quay:7210', 'NSR:Quay:7699']",,3594080.0,0.945116611750846
all,exp1,oslo_only,random,1,cumulative,5,"['NSR:Quay:11897', 'NSR:Quay:7210', 'NSR:Quay:100634', 'NSR:Quay:562', 'NSR:Quay:7699']",,3594080.0,0.945116611750846
all,exp1,oslo_only,random,1,cumulative,6,"['NSR:Quay:11897', 'NSR:Quay:566', 'NSR:Quay:7210', 'NSR:Quay:100634', 'NSR:Quay:562', 'NSR:Quay:7699']",,3588480.0,0.9436440087409507
all,exp1,oslo_only,random,1,cumulative,7,"['NSR:Quay:11897', 'NSR:Quay:100634', 'NSR:Quay:566', 'NSR:Quay:7210', 'NSR:Quay:104410', 'NSR:Quay:562', 'NSR:Quay:7699']",,3588430.0,0.943630860499791
all,exp1,oslo_only,random,1,cumulative,8,"['NSR:Quay:566', 'NSR:Quay:104410', 'NSR:Quay:562', 'NSR:Quay:11897', 'NSR:Quay:7210', 'NSR:Quay:100634', 'NSR:Quay:122003', 'NSR:Quay:7699']",,3588430.0,0.943630860499791
all,exp1,oslo_only,random,1,cumulative,9,"['NSR:Quay:566', 'NSR:Quay:104410', 'NSR:Quay:562', 'NSR:Quay:11991', 'NSR:Quay:11897', 'NSR:Quay:7210', 'NSR:Quay:100634', 'NSR:Quay:122003', 'NSR:Quay:7699']",,3587630.0,0.9434204886412345
