from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17,distance_m,speed_m_s,speed_km_h,tripsPerDay
NSR:Quay:99688,NSR:Quay:11880,BRA:Line:4_6169,169,bus,Brakar,60.0,7,14,906.0457794389854,15.100762990649757,54.36274676633913,14.0
NSR:Quay:11880,NSR:Quay:11829,BRA:Line:4_6169,169,bus,Brakar,60.0,7,14,578.6492844414597,9.644154740690995,34.71895706648758,14.0
NSR:Quay:11829,NSR:Quay:7700,BRA:Line:4_6169,169,bus,Brakar,120.0,7,14,2753.446547048659,22.94538789207216,82.60339641145977,14.0
NSR:Quay:7700,NSR:Quay:11969,BRA:Line:4_6169,169,bus,Brakar,660.0,7,14,1931.6547522973365,2.926749624692934,10.536298648894562,14.0
NSR:Quay:12002,NSR:Quay:7699,BRA:Line:4_6169,169,bus,Brakar,660.0,7,14,2048.4672589418465,3.10373827112401,11.173457776046435,14.0
NSR:Quay:7699,NSR:Quay:11827,BRA:Line:4_6169,169,bus,Brakar,240.0,7,14,2925.6459646254903,12.190191519272876,43.88468946938235,14.0
NSR:Quay:11827,NSR:Quay:11881,BRA:Line:4_6169,169,bus,Brakar,60.0,7,14,821.5067503046492,13.691779171744153,49.29040501827895,14.0
NSR:Quay:11881,NSR:Quay:11888,BRA:Line:4_6169,169,bus,Brakar,60.0,7,14,752.8448261100187,12.547413768500313,45.170689566601126,14.0
NSR:Quay:99688,NSR:Quay:11829,BRA:Line:4_6200,200,bus,Brakar,120.0,53,57,1484.5408482864748,12.371173735720623,44.536225448594244,57.0
NSR:Quay:11829,NSR:Quay:7700,BRA:Line:4_6200,200,bus,Brakar,180.0,56,57,2753.446547048659,15.296925261381439,55.06893094097318,57.0
NSR:Quay:7700,NSR:Quay:11969,BRA:Line:4_6200,200,bus,Brakar,780.0,58,57,1931.6547522973365,2.4764804516632517,8.915329625987706,57.0
NSR:Quay:11829,NSR:Quay:7716,BRA:Line:4_6200,200,bus,Brakar,240.0,2,57,2440.7785341219774,10.169910558841572,36.61167801182966,57.0
NSR:Quay:7716,NSR:Quay:7700,BRA:Line:4_6200,200,bus,Brakar,180.0,2,57,534.1979913463047,2.9677666185905816,10.683959826926094,57.0
NSR:Quay:11973,NSR:Quay:7699,BRA:Line:4_6200,200,bus,Brakar,480.0,60,57,2055.28476370495,4.281843257718646,15.414635727787125,57.0
NSR:Quay:7699,NSR:Quay:11827,BRA:Line:4_6200,200,bus,Brakar,360.0,58,57,2925.6459646254903,8.126794346181917,29.256459646254903,57.0
NSR:Quay:11827,NSR:Quay:11888,BRA:Line:4_6200,200,bus,Brakar,60.0,56,57,1572.755986798988,26.212599779983133,94.36535920793928,57.0
NSR:Quay:7699,NSR:Quay:7716,BRA:Line:4_6200,200,bus,Brakar,120.0,2,57,589.9555895396802,4.9162965794973355,17.698667686190408,57.0
NSR:Quay:7716,NSR:Quay:11827,BRA:Line:4_6200,200,bus,Brakar,420.0,2,57,2569.360378957179,6.117524711802807,22.023088962490107,57.0
NSR:Quay:10538,NSR:Quay:10535,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,397.36249008223336,6.622708168037223,23.841749404934003,14.0
NSR:Quay:10535,NSR:Quay:10525,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,1054.9249390345549,17.58208231724258,63.29549634207329,14.0
NSR:Quay:10525,NSR:Quay:10477,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,542.9337195258034,9.048895325430058,32.57602317154821,14.0
NSR:Quay:10477,NSR:Quay:10484,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,430.8209497254122,7.180349162090204,25.849256983524736,14.0
NSR:Quay:10484,NSR:Quay:10736,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,551.8566045199474,9.197610075332456,33.111396271196845,14.0
NSR:Quay:10736,NSR:Quay:10697,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,769.4575032790775,12.824291721317959,46.16745019674465,14.0
NSR:Quay:10697,NSR:Quay:10656,INN:Line:126,126,bus,Innlandstrafikk,60.0,22,14,411.7538668595066,6.8625644476584435,24.7052320115704,14.0
NSR:Quay:10656,NSR:Quay:10648,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,945.3482734536508,15.755804557560847,56.72089640721905,14.0
NSR:Quay:10648,NSR:Quay:10942,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,768.1305749734879,12.802176249558132,46.08783449840927,14.0
NSR:Quay:10942,NSR:Quay:10955,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,476.46316926993825,7.941052821165638,28.587790156196295,14.0
NSR:Quay:10955,NSR:Quay:10965,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,340.3385525855043,5.672309209758406,20.42031315513026,14.0
NSR:Quay:10965,NSR:Quay:11002,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,672.1636878983254,11.202728131638757,40.329821273899526,14.0
NSR:Quay:11002,NSR:Quay:11059,INN:Line:126,126,bus,Innlandstrafikk,120.0,16,14,1147.8032291045115,9.565026909204262,34.434096873135346,14.0
NSR:Quay:11059,NSR:Quay:104044,INN:Line:126,126,bus,Innlandstrafikk,120.0,16,14,1617.4491043122027,13.478742535935023,48.52347312936608,14.0
NSR:Quay:104044,NSR:Quay:11036,INN:Line:126,126,bus,Innlandstrafikk,60.0,16,14,391.91903957085947,6.531983992847658,23.515142374251568,14.0
NSR:Quay:11036,NSR:Quay:11969,INN:Line:126,126,bus,Innlandstrafikk,660.0,16,14,1988.4267000424195,3.0127677273369993,10.845963818413198,14.0
NSR:Quay:10656,NSR:Quay:10668,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,422.91506654541826,7.048584442423637,25.374903992725095,14.0
NSR:Quay:10668,NSR:Quay:10756,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,565.7265256843687,9.42877542807281,33.94359154106212,14.0
NSR:Quay:10756,NSR:Quay:10770,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,445.41644316105203,7.423607386017534,26.72498658966312,14.0
NSR:Quay:10770,NSR:Quay:10394,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,642.9370781475526,10.715617969125876,38.57622468885316,14.0
NSR:Quay:10394,NSR:Quay:10389,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,452.8100887872203,7.546834813120339,27.16860532723322,14.0
NSR:Quay:10389,NSR:Quay:11445,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,246.3577105255355,4.105961842092259,14.781462631532133,14.0
NSR:Quay:11445,NSR:Quay:11448,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,661.4468663028072,11.024114438380119,39.68681197816843,14.0
NSR:Quay:11448,NSR:Quay:11456,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,311.2288731867955,5.187147886446592,18.673732391207732,14.0
NSR:Quay:11456,NSR:Quay:11454,INN:Line:126,126,bus,Innlandstrafikk,120.0,6,14,529.1405700379587,4.409504750316322,15.87421710113876,14.0
NSR:Quay:11454,NSR:Quay:98653,INN:Line:126,126,bus,Innlandstrafikk,180.0,6,14,855.3255632135817,4.751808684519899,17.10651126427164,14.0
NSR:Quay:98653,NSR:Quay:10866,INN:Line:126,126,bus,Innlandstrafikk,120.0,6,14,333.79514178198133,2.781626181516511,10.013854253459439,14.0
NSR:Quay:10866,NSR:Quay:10832,INN:Line:126,126,bus,Innlandstrafikk,300.0,6,14,1008.1753770283585,3.3605845900945286,12.098104524340304,14.0
NSR:Quay:10832,NSR:Quay:11079,INN:Line:126,126,bus,Innlandstrafikk,120.0,6,14,804.6755376101258,6.705629480084382,24.140266128303775,14.0
NSR:Quay:11079,NSR:Quay:11069,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,240.76510076079197,4.0127516793465325,14.445906045647517,14.0
NSR:Quay:11069,NSR:Quay:11116,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,384.47110153703056,6.407851692283843,23.068266092221833,14.0
NSR:Quay:11116,NSR:Quay:11122,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,460.75522344134157,7.6792537240223595,27.645313406480494,14.0
NSR:Quay:11122,NSR:Quay:114003,INN:Line:126,126,bus,Innlandstrafikk,60.0,6,14,352.57507330897255,5.876251221816209,21.154504398538354,14.0
