id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:99688,Vækerø,59.91565,10.651833,NSR:Quay:99688,544
NSR:Quay:11880,Maritim,59.918496,10.667065,NSR:Quay:11880,545
NSR:Quay:11829,Sjølyst,59.920456,10.676683,NSR:Quay:11829,546
NSR:Quay:7700,Vika atrium,59.910762,10.722139,NSR:Quay:7700,0
NSR:Quay:11969,Oslo bussterminal,59.91194,10.75671,NSR:Quay:11969,1
NSR:Quay:12002,Oslo bussterminal,59.911593,10.759892,NSR:Quay:12002,1
NSR:Quay:7699,Vika atrium,59.910836,10.723177,NSR:Quay:7699,0
NSR:Quay:11827,Sjølyst,59.921284,10.675004,NSR:Quay:11827,547
NSR:Quay:11881,Maritim,59.917987,10.661813,NSR:Quay:11881,548
NSR:Quay:11888,Vækerø,59.915522,10.649233,NSR:Quay:11888,549
NSR:Quay:7716,Filipstadveien,59.908621,10.713561,NSR:Quay:7716,2
NSR:Quay:11973,Oslo bussterminal,59.911573,10.760016,NSR:Quay:11973,1
NSR:Quay:10538,Tokerudbekken,59.975614,10.925713,NSR:Quay:10538,550
NSR:Quay:10535,Bånkallstubben,59.973823,10.919533,NSR:Quay:10535,3
NSR:Quay:10525,Rommi,59.966504,10.907471,NSR:Quay:10525,4
NSR:Quay:10477,Sveiva,59.963197,10.900294,NSR:Quay:10477,5
NSR:Quay:10484,Romsåsfoten,59.960329,10.89509,NSR:Quay:10484,6
NSR:Quay:10736,Grorudkrysset,59.959895,10.885214,NSR:Quay:10736,7
NSR:Quay:10697,Ammerud,59.95757,10.872195,NSR:Quay:10697,551
NSR:Quay:10656,Flaen,59.95456,10.867887,NSR:Quay:10656,8
NSR:Quay:10648,Rødtvet T,59.949219,10.854677,NSR:Quay:10648,552
NSR:Quay:10942,Veitvet,59.945286,10.843337,NSR:Quay:10942,553
NSR:Quay:10955,Linderudsletta,59.944213,10.835054,NSR:Quay:10955,9
NSR:Quay:10965,Øvre Lunden,59.943297,10.829223,NSR:Quay:10965,10
NSR:Quay:11002,Brobekk,59.944229,10.817298,NSR:Quay:11002,11
NSR:Quay:11059,Aker sykehus,59.940943,10.797761,NSR:Quay:11059,12
NSR:Quay:104044,Rosenhoff,59.930229,10.778122,NSR:Quay:104044,13
NSR:Quay:11036,Carl Berners plass,59.926789,10.77659,NSR:Quay:11036,14
NSR:Quay:10668,Kalbakkstubben,59.950835,10.866353,NSR:Quay:10668,15
NSR:Quay:10756,Bredtvet,59.946038,10.862968,NSR:Quay:10756,16
NSR:Quay:10770,Nedre Kalbakkvei,59.942634,10.858752,NSR:Quay:10770,17
NSR:Quay:10394,Alfasetveien,59.936854,10.858443,NSR:Quay:10394,18
NSR:Quay:10389,Kjelsrud,59.932836,10.859765,NSR:Quay:10389,19
NSR:Quay:11445,Alfaset,59.931259,10.856659,NSR:Quay:11445,20
NSR:Quay:11448,Alna senter,59.927892,10.846872,NSR:Quay:11448,21
NSR:Quay:11456,Tittutveien,59.925611,10.843635,NSR:Quay:11456,554
NSR:Quay:11454,Alnabruveien,59.924064,10.834655,NSR:Quay:11454,22
NSR:Quay:98653,Brobekkveien,59.93141,10.830102,NSR:Quay:98653,23
NSR:Quay:10866,Risløkkalléen,59.931377,10.824111,NSR:Quay:10866,555
NSR:Quay:10832,Økern T,59.928403,10.807017,NSR:Quay:10832,24
NSR:Quay:11079,Haslevangen,59.925157,10.79411,NSR:Quay:11079,25
NSR:Quay:11069,Hasle,59.923154,10.792469,NSR:Quay:11069,26
NSR:Quay:11116,Gladengveien,59.919768,10.793866,NSR:Quay:11116,27
NSR:Quay:11122,Valle,59.917122,10.800228,NSR:Quay:11122,556
NSR:Quay:114003,Fyrstikktorget,59.913954,10.799963,NSR:Quay:114003,28
NSR:Quay:11992,Oslo bussterminal,59.911632,10.759662,NSR:Quay:11992,1
NSR:Quay:11037,Carl Berners plass,59.926775,10.77674,NSR:Quay:11037,14
NSR:Quay:104045,Rosenhoff,59.930442,10.778288,NSR:Quay:104045,13
NSR:Quay:11064,Aker sykehus,59.940518,10.797257,NSR:Quay:11064,12
NSR:Quay:11001,Brobekk,59.944092,10.81788,NSR:Quay:11001,11
NSR:Quay:10964,Øvre Lunden,59.943009,10.828722,NSR:Quay:10964,10
NSR:Quay:10950,Linderudsletta,59.943794,10.83591,NSR:Quay:10950,9
NSR:Quay:10943,Veitvet,59.945662,10.846349,NSR:Quay:10943,557
NSR:Quay:10643,Rødtvet T,59.950901,10.860954,NSR:Quay:10643,558
NSR:Quay:10655,Flaen,59.954703,10.868635,NSR:Quay:10655,8
NSR:Quay:10698,Ammerud,59.958252,10.875027,NSR:Quay:10698,559
NSR:Quay:10739,Grorudkrysset,59.959695,10.886319,NSR:Quay:10739,7
NSR:Quay:10485,Romsåsfoten,59.96077,10.89638,NSR:Quay:10485,6
NSR:Quay:10478,Sveiva,59.963713,10.901712,NSR:Quay:10478,5
NSR:Quay:10526,Rommi,59.966876,10.908592,NSR:Quay:10526,4
NSR:Quay:10534,Bånkallstubben,59.973234,10.918771,NSR:Quay:10534,3
NSR:Quay:10539,Tokerudbekken,59.976054,10.92803,NSR:Quay:10539,560
NSR:Quay:11983,Oslo bussterminal,59.911647,10.759543,NSR:Quay:11983,1
NSR:Quay:11125,Fyrstikktorget,59.914728,10.800864,NSR:Quay:11125,28
NSR:Quay:11121,Valle,59.917938,10.798919,NSR:Quay:11121,561
NSR:Quay:11114,Gladengveien,59.9199,10.794126,NSR:Quay:11114,27
NSR:Quay:11070,Hasle,59.923478,10.792517,NSR:Quay:11070,26
NSR:Quay:11080,Haslevangen,59.925734,10.795607,NSR:Quay:11080,562
NSR:Quay:10835,Økern T,59.92845,10.806507,NSR:Quay:10835,24
NSR:Quay:10865,Risløkkalléen,59.93054,10.822552,NSR:Quay:10865,563
NSR:Quay:98652,Brobekkveien,59.931347,10.829985,NSR:Quay:98652,23
NSR:Quay:11453,Alnabruveien,59.923961,10.835845,NSR:Quay:11453,22
NSR:Quay:11446,Alna senter,59.927254,10.846438,NSR:Quay:11446,21
NSR:Quay:11442,Alfaset,59.930915,10.856037,NSR:Quay:11442,20
NSR:Quay:10396,Alfasetveien,59.937247,10.858658,NSR:Quay:10396,18
NSR:Quay:10771,Nedre Kalbakkvei,59.942855,10.85924,NSR:Quay:10771,17
NSR:Quay:10757,Bredtvet,59.94623,10.863266,NSR:Quay:10757,16
NSR:Quay:10669,Kalbakkstubben,59.95024,10.866291,NSR:Quay:10669,15
NSR:Quay:10301,Furuset skole,59.938012,10.891735,NSR:Quay:10301,29
NSR:Quay:10380,Trosterudkrysset,59.929404,10.865993,NSR:Quay:10380,30
NSR:Quay:11231,Ulvenkrysset,59.918964,10.816483,NSR:Quay:11231,31
