cluster_id,n_stops,stop_names
0,4,"['Tjuvholmen', 'Vika atrium']"
1,23,['Oslo bussterminal']
2,2,['Filipstadveien']
3,2,['Bånkallstubben']
4,2,['Rommi']
5,2,['Sveiva']
6,2,['Romsåsfoten']
7,3,['Grorudkrysset']
8,2,['Flaen']
9,4,"['Linderud senter', 'Linderudsletta']"
10,2,['Øvre Lunden']
11,2,['Brobekk']
12,2,['Aker sykehus']
13,2,['Rosenhoff']
14,6,"['Carl Berners plass', 'Carl Berners plass T']"
15,4,"['Kalbakkstubben', 'Kalbakkveien']"
16,2,['Bredtvet']
17,2,['Nedre Kalbakkvei']
18,2,['Alfasetveien']
19,2,['Kjelsrud']
20,2,['Alfaset']
21,3,"['Alna senter', 'Arvesetveien']"
22,2,['Alnabruveien']
23,4,"['Brobekkveien', 'Nordre Hovin']"
24,3,['Økern T']
25,3,"['Hasle', 'Haslevangen']"
26,2,['Hasle']
27,2,['Gladengveien']
28,15,"['Fyrstikktorget', 'Helsfyr', 'Helsfyr T']"
29,4,['Furuset skole']
30,6,"['Trosterud', 'Trosterudkrysset']"
31,3,['Ulvenkrysset']
32,4,['Teisenkrysset']
33,2,['Einars vei']
34,2,['Fougners vei']
35,2,['Københavngata']
36,2,['Sannergata']
37,4,['Alexander Kiellands plass']
38,2,['Falck Ytters plass']
39,3,['St. Hanshaugen']
40,2,['Sofies plass']
41,4,['Bislett']
42,2,['Dalsbergstien']
43,4,"['Holbergs plass', 'Radisson Blu Scandinavia']"
44,3,"['Prof. Aschehougs plass', 'Tinghuset']"
45,7,['Jernbanetorget']
46,3,"['Radisson Blu Alna', 'Skjønhaug']"
47,13,['Majorstuen']
48,2,['Marienlyst']
49,4,"['Fayes gate', 'Lindern']"
50,4,['Sagene']
51,2,['Arendalsgata']
52,4,['Torshov']
53,2,['Torshovparken']
54,2,['Sinsen T']
55,2,['Sinsenkrysset']
56,3,"['Bjerke', 'Travbanen']"
57,2,['Smestad']
58,3,"['Gaustad', 'Gaustadalléen']"
59,2,['Berg']
60,4,['Tåsen senter']
61,2,['Bergrådveien']
62,2,['Nydalen stasjon']
63,2,['Lillo terrasse']
64,6,"['Storo', 'Storo senter']"
65,2,['Grefsen stasjon']
66,2,['Sinsenkrysset']
67,2,['Sinsenveien']
68,2,['Ulven torg']
69,2,['Vollebekk']
70,2,['Nyland stasjon']
71,2,['Smedstua']
72,2,"['Bekkenstenveien', 'Vestbyveien']"
73,3,"['Gaustad', 'Gaustad T']"
74,3,"['Risbakken', 'Viggo Hansteens vei']"
75,2,['Smestad']
76,2,['Radiumhospitalet']
77,3,"['Hovseter', 'Huseby skole']"
78,4,['Røa T']
79,2,['Kristian Auberts vei']
80,2,['Møllefaret']
81,2,['Lysejordet']
82,2,['Lyseveien']
83,2,['Bjørnsletta']
84,2,['Blokkajordet']
85,2,['Fiskevollen']
86,2,['Gladvollveien']
87,4,"['Katten', 'Siksakveien']"
88,2,['Ulvøybrua']
89,2,['Nedre Bekkelaget']
90,2,['Bekkelagsveien']
91,2,['Kongshavn']
92,2,['Observatoriegata']
93,4,['Solli']
94,2,['Riddervolds plass']
95,2,['Uranienborgveien']
96,6,['Homansbyen']
97,4,['Kjelsåsalléen']
98,4,['Grefsen stadion']
99,2,['Grefsenplatået']
100,2,['Glads vei']
101,2,['Doktor Smiths vei']
102,2,['Disen']
103,2,['Grefsenveien']
104,2,['Sandaker senter']
105,2,['Huk']
106,2,['Ro']
107,2,['Frimurerhjemmet']
108,2,['Bygdøhus']
109,2,['Fredriksborg']
